sap;descricao;unidade;preco_unitario
I4/13GCU;I4/13GCU RET  CONJ.ISOL.SUSP.P/CABO CU;UN;0.0
I4/34GAL;I4/34GAL RET  CONJ.ISOL.SUSP.P/CABO AL;UN;0.0
I4/34GCU;I4/34GCU RET  CONJ.ISOL.SUSP.P/CABO CU;UN;0.0
E-11/34;E-11/34  INST CHAVE DE FACA 34.5 KV;UN;0.0
E-29/13;E-29/13  INST PARA-RAIOS 15 KV;UN;0.0
E-29/34;E-29/34  INST PARA-RAIOS 34,5 KV;UN;0.0
E-29/7;E-29/7   INST PARA-RAIO RURAL 7,6KV (F-;UN;0.0
E-48P/38;E-48P/38 - INST.PORTA FUS.CLASSE B TIP.T;UN;0.0
E-9/34;E-9/34   INST CHAVE FUSIVEL 34.5 KV;UN;0.0
E-9P/34;E-9P/34INST CHAVE FUSIV DISTR TP C38KV;UN;0.0
E-9R3/15;E-9R3/15 - INST. CHAVE FUSIV. RELIGADORA;UN;0.0
E11/13BP;E11/13BP INST CHAVE FACA BY-PASS EQUIPA;UN;0.0
E11/13LB;E11/13LB INST CHAVE FACA-LB 14,4 KV-500;UN;0.0
E11/13LM;E11/13LM RET  CHAVE FACA-LM 15 KV;UN;0.0
E11/34LB;E11/34LB INST CHAVE FACA UNI LB 34,5 KV;UN;0.0
E29/13AP;E29/13AP INST PARA-RAIOS 15 KV;UN;0.0
E29/BRBT;E29/BRBT INST PARA-RAIOS BLIND FIM LINHA;UN;0.0
E9/13-10;E9/13-10 INST CHAVE FUSIVEL-LB 10 KA SE;UN;0.0
E9/13-2;E9/13-2 RET CHAVE FUSÍVEL LB 2KA S/ELO;UN;0.0
E9/13-8;E9/13-8  RET  CHAVE FUSIVEL-LB 8 KA SEM;UN;0.0
E9/13DO;E9/13DO  RET  CHAVE FUSIVEL-DO C/SUPORT;UN;0.0
E9/13HDO;E9/13HDO RET  CHAV.FUSIVEL-HDO C/SUPORT;UN;0.0
SEC1-15;SEC1-15 INST.SEC. ELET. AUTOMATICO;UN;0.0
SEC1-34;SEC1-34 INST.SEC. ELET. AUTOMATICO;UN;0.0
A-30/10;A-30/10 INST SUP TRAFO DES 122236 ITEM 3;UN;0.0
A-30/11;A-30/11 INST SUP TRAFO DES 122236 ITEM 4;UN;0.0
A-30/12;A-30/12 INST SUP TRAFO DES 122236 ITEM 5;UN;0.0
A-30/13;A-30/13 INST SUP TRAFO DES 122236 ITEM 6;UN;0.0
A-30/14;A-30/14 INST SUP TRAFO DES 122236 ITEM 7;UN;0.0
A-30/8;A-30/8 INST SUP TRAFO DES 122236 ITEM 1;UN;0.0
