sap;descricao;unidade;custo_un;normas
13IN2DTA;13IN2DTA INST R. INV. DEFLEX. REDE AFAST;UN;0.0;
13IN3BDA;13IN3BDA INST R INVERT FIM REDE BLIN DUP;UN;0.0;
13IN4DTA;13IN4DTA INST R. INV. DUPLA ANCOR. AFA M;UN;0.0;
13INBDTA;13INBDTA INST RD INV DER BLIN AFAST MTDT;UN;0.0;
13INBRDT;13INBRDT INST ESTR FIM REDE BLIND BT P/;UN;0.0;
13INDB3A;13INDB3A INST CONJUG FIM RD DER AFAST MT;UN;0.0;
13INDB4A;13INDB4A INST FIM RD DER BL DUP ANC AF M;UN;0.0;
13INDDT;13INDDT  INST ESTR CONJUG. DERIV EM P. D;UN;0.0;
13INDDTA;13INDDTA INST R. INV. DERIVA. REDE AFAST;UN;0.0;
13INDFDT;13INDFDT INST ESTR CONJ. DERIV CHV FUS.;UN;0.0;
13INFDTA;13INFDTA INST R. INV. DERIV CH. FUS. AFA;UN;0.0;
13INSDTA;13INSDTA INST R. INV. CHV SECC UNIP. AFA;UN;0.0;
13INSUDT;13INSUDT INST ESTR CHVA SECC EM CARGA P.;UN;0.0;
13INV1;13INV1   INST R. INVERT ALIN. RETO PRIMÁ;UN;0.0;
13INV1DT;13INV1DT INST EST RD INV ALI RETO PTE DT;UN;0.0;
13INV2;13INV2   INST R. INVERT P/ DEFLEXÃO DE R;UN;0.0;
13INV2A;13INV2A  INST R. INVERT DEFLEX. RD C/ AF;UN;0.0;
13INV2DT;13INV2DT INST EST RD INV DEFLEXÃO PTE DT;UN;0.0;
13INV3;13INV3   INST R. INVERT FIM DE REDE PRIM;UN;0.0;
13INV3BA;13INV3BA INST R. INVERT FIM REDEC/ AFAST;UN;0.0;
13INV3BR;13INV3BR INST ESTR CONVERS. FIM REDE BLI;UN;0.0;
13INV3DT;13INV3DT INST EST RD INV FIM REDE PTE DT;UN;0.0;
13INV4;13INV4   INST R. INVERT DUPLA ANCOR PRIM;UN;0.0;
13INV4A;13INV4A INST R. INVERT DUP. ANCOR.C/ AF;UN;0.0;
13INV4DT;13INV4DT INST EST RD INV ANC DUPL PTE DT;UN;0.0;
13INVBA;13INVBA INST EST CONJ DER BLIN AFAST MT;UN;0.0;
13INVD4A;13INVD4A INST EST CON DER DP ANC AFAS MT;UN;0.0;
13INVDBA;13INVDBA INST EST CONJ DER MT/BLIN AF MT;UN;0.0;
13INVDER;13INVDER INST R. INVERT P/ EST.CONJUG. P;UN;0.0;
13INVDFU;13INVDFU INST R. INVERT P/ EST.CONJUG DE;UN;0.0;
13INVDRA;13INVDRA INST R. INVERT DERIV. RD COM AF;UN;0.0;
